State,State_abbrev,Year,Beer (Per capita consumption),Wine (Per capita consumption),Spirits (Per capita consumption),All beverages (Per capita consumption)
Alabama,AL,2016,1.09,0.26,0.65,2.01
Alabama,AL,2015,1.11,0.26,0.64,2.01
Alabama,AL,2014,1.13,0.25,0.62,2
Alabama,AL,2013,1.14,0.25,0.6,1.99
Alabama,AL,2012,1.16,0.24,0.6,2
Alabama,AL,2011,1.16,0.24,0.59,1.98
Alabama,AL,2010,1.17,0.23,0.58,1.98
Alabama,AL,2009,1.19,0.22,0.57,1.98
Alabama,AL,2008,1.22,0.22,0.57,2.01
Alabama,AL,2007,1.23,0.22,0.55,2
Alabama,AL,2006,1.21,0.21,0.54,1.95
Alabama,AL,2005,1.18,0.2,0.53,1.91
Alabama,AL,2004,1.19,0.2,0.52,1.91
Alabama,AL,2003,1.19,0.19,0.52,1.9
Alabama,AL,2002,1.18,0.21,0.54,1.92
Alabama,AL,2001,1.16,0.17,0.53,1.86
Alabama,AL,2000,1.19,0.18,0.51,1.88
Alabama,AL,1999,1.18,0.17,0.51,1.87
Alabama,AL,1998,1.16,0.17,0.51,1.85
Alabama,AL,1997,1.14,0.16,0.52,1.82
Alabama,AL,1996,1.17,0.18,0.53,1.88
Alabama,AL,1995,1.14,0.16,0.53,1.82
Alabama,AL,1994,1.16,0.17,0.54,1.87
Alabama,AL,1993,1.14,0.17,0.56,1.86
Alabama,AL,1992,1.02,0.19,0.59,1.79
Alabama,AL,1991,1,0.17,0.59,1.76
Alabama,AL,1990,1.12,0.18,0.61,1.92
Alabama,AL,1989,1.12,0.17,0.61,1.9
Alabama,AL,1988,1.12,0.19,0.62,1.92
Alabama,AL,1987,1.11,0.18,0.62,1.91
Alabama,AL,1986,1.1,0.18,0.65,1.92
Alabama,AL,1985,1.07,0.17,0.67,1.92
Alabama,AL,1984,1.03,0.19,0.69,1.91
Alabama,AL,1983,1.01,0.17,0.72,1.9
Alabama,AL,1982,1,0.18,0.72,1.9
Alabama,AL,1981,1,0.19,0.73,1.91
Alabama,AL,1980,0.95,0.16,0.74,1.86
Alabama,AL,1979,0.96,0.12,0.82,1.9
Alabama,AL,1978,0.95,0.12,0.85,1.92
Alabama,AL,1977,0.97,0.12,0.82,1.92
Alaska,AK,2016,1.15,0.56,1.23,2.94
Alaska,AK,2015,1.11,0.53,1.2,2.84
Alaska,AK,2014,1.11,0.52,1.16,2.79
Alaska,AK,2013,1.07,0.52,1.17,2.75
Alaska,AK,2012,1.17,0.53,1.13,2.83
Alaska,AK,2011,1.15,0.54,1.17,2.86
